question_id,title,proposed_target_version,confiance,raisonnement,error
274,"Based on the given configuration, who has the permission to edit the article?",,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB5WruAgDvrxsCZrjSMn'}"
276,What are the conditions required to use Property Fields in Odoo?,both,moyenne,"La question porte sur les 'Property Fields' dans Odoo Knowledge, une fonctionnalité qui nécessite un article parent. Les documents fournis ne traitent pas directement de ce sujet, mais cette fonctionnalité existe dans les deux versions (v18 et v19) de Knowledge avec le même comportement. La réponse 'You need a parent article' est identique dans les deux versions.",
277,"In Odoo, clipboards can be inserted into multiple applications. Which of the following is true regarding their usage?",,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB5Y339JPboYhPN6t7qC'}"
283,Do properties only appear within kanban article items?,,,,pas de bonne réponse is_correct
284,Will survey participants always be able to see their answers at the end of the survey in Odoo?,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB5ZAYcibHCLQKURKYyy'}"
285,"If posing a question to a participant and looking for them to provide their rating of something, what question type should be selected",,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB5Zntu7bhQ3jr7ujBjt'}"
286,Can you restrict access to a Live Session survey to a select group of participants in Odoo?,,,,pas de bonne réponse is_correct
287,Which of the following question types is not available in Odoo Surveys?,,,,pas de bonne réponse is_correct
288,"What happens if ""Randomized per section"" is chosen as the ""Question Selection"" option?",,,,pas de bonne réponse is_correct
290,How can a survey conclude with a custom message for participants?,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB5bAe8CTeSNLH3iJorw'}"
292,Which feature is NOT supported by Odoo Surveys?,,,,pas de bonne réponse is_correct
293,Where can one find a collection of all the survey responses that participants entered themselves?,,,,pas de bonne réponse is_correct
294,Can a survey participant be directed to a specific question based on their answer to a previous question in Odoo?,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB5cwZNm6yea6idvBeBh'}"
296,Which field on a survey form is used to restrict participation to specific individuals or groups?,both,moyenne,"Les chunks de documentation v18 et v19 fournis ne mentionnent pas explicitement le champ 'Restricted to', mais ce champ existe dans les deux versions d'Odoo pour restreindre l'accès aux sondages. La documentation disponible ne montre aucune différence entre les deux versions sur ce point, suggérant que le comportement est identique dans les deux versions.",
301,What is the impact of setting a sales team on a pipeline stage?,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB5eeKM7NySnRricFvf4'}"
302,When can you configure the 'Lost Reasons' you want your Sales Team to use?,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB5fbv1gM9pHivDwNjmq'}"
303,Which of the following variables can be used to automatically compute the probability of winning an opportunity?,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB5gbcgpiXE6UrnBMnvW'}"
305,The 'Closed Date' indicates:,19.0,moyenne,"La documentation v19 définit explicitement 'Closed Date' comme la date à laquelle une opportunité a été marquée Won, tandis que la réponse attendue dit 'won or lost'. Ce champ et sa définition sont documentés explicitement dans la v19 (Pipeline Analysis), et la documentation v18 fournie ne mentionne pas ce champ. La terminologie 'Closed Date' semble être introduite ou formalisée en v19.",
307,Which of the following is true about recurring revenues?,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB49hQDRc5eCZDvktdF1'}"
308,Reporting is accessible:,both,moyenne,"La question porte sur un comportement général d'Odoo CRM (accès au reporting filtré par droits d'accès), un principe fondamental qui s'applique dans les deux versions. Les documents des deux versions confirment que les droits d'accès filtrent les données visibles, sans changement de comportement entre v18 et v19. Cependant, aucun chunk ne référence explicitement le reporting CRM, d'où une confiance moyenne.",
309,"If the manager of the Pre-Sales team creates a new property field on an opportunity, who can see it?",both,moyenne,La question porte sur le comportement des champs de propriété (property fields) créés par le manager d'une équipe de vente sur une opportunité. Ce comportement — que les propriétés soient visibles par quiconque ayant accès à l'enregistrement — est une fonctionnalité générale d'Odoo non spécifique à une version. Les docs v18 et v19 ne montrent pas de changement dans ce comportement entre les deux versions.,
310,Which variables does Odoo always use to calculate the probability of winning an opportunity?,both,moyenne,"Both v18 and v19 documentation describe an identical predictive lead scoring system with the same configurable variables list. The concept of 'Stage and Email Quality' as always-used variables appears consistent across both versions, as no structural change in the feature is documented between v18 and v19.",
311,What happens when you click one of the colored bars at the top of a kanban stage?,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB4DjTMZttPFy8c61TFR'}"
312,What is the impact of setting a sales team on a pipeline stage?,both,moyenne,"La documentation v18 et v19 ne détaille pas explicitement l'impact de l'assignation d'une sales team à une stage de pipeline, mais ce comportement (visibilité d'une étape limitée aux membres de l'équipe commerciale associée) est une fonctionnalité fondamentale d'Odoo CRM qui n'a pas changé entre les versions. Aucun changement de ce comportement n'est mentionné dans les deux documentations.",
314,"On average, a lead is more likely to be won over an opportunity.",,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB4Fe2ESRq7oEPuTwoQ6'}"
316,What does the probability field on an opportunity indicate?,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB4HYHzqjD6GbKuXN6w6'}"
317,The 'Closed Date' indicates:,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB4J8zKNLBZccvWkwYJN'}"
318,"When looking at a company's contact record, the Opportunities smart button will show:",,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB4KV36sgUgSDuTcMYRx'}"
321,Which of the following is NOT a 'Routes' option on a product form (under the Inventory tab)?,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB4MsRoCmnjAUgHvZXtC'}"
323,"A customer is interested in a rather expensive product. The product has a supplier delivery lead time that is LESS than your customer delivery lead time. You do not sell this product often, due to its expensive nature. With that in mind, what is the best procurement method for you to manage this product effectively?",,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB4PmZt8dfMkXJMKXYQ4'}"
324,"If you would like to group specific sales order lines together to generate subtotals, what feature would you use on the quotation/sales order?",,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB4RsPvmRnwQuuKAcHdH'}"
325,What does the below configuration for a storable product imply?,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB4RGwFPXGYY51GaBpdS'}"
328,"How would you configure Odoo, so the product 'Office Chair' appears as a suggested option when a customer adds the product 'Conference Chair' to their cart in the online store?",,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB4TtTySG9Fgm6rWwxme'}"
329,Which of the following is NOT a 'Variants Creation Mode' option while creating product attributes?,,,,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 91b0ead5-5687-4e75-a89a-bdb8669ded9e, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Reduce the prompt length or the maximum tokens requested, or try again later. View your current limits at https://console.anthropic.com/settings/limits. To raise this limit, purchase credits to advance to the next usage tier at https://console.anthropic.com/settings/billing.""}, 'request_id': 'req_011CbB4Vo5LW7y2DcKn2pT14'}"
331,What is the impact of setting a sales team on a pipeline stage?,both,moyenne,"La documentation v18 et v19 ne détaille pas explicitement le comportement des étapes avec sales team assignée, mais la fonctionnalité de filtrage des étapes par équipe commerciale (seuls les membres de cette équipe voient l'étape) est un comportement fondamental du CRM Odoo présent dans les deux versions sans changement apparent.",
